event_id,split_id,event_date,section_index,village_location,district,governorate,latitude,longitude,geocode_confidence,location_extraction_confidence,locations_in_same_section,split_location_count_in_section,casualty_allocation,count_for_casualty_totals,event_total_killed_from_focus_text,event_total_injured_from_focus_text,event_total_children_from_focus_text,location_killed,location_injured,location_children,injury_text_note,attack_type,source_count,post_count,confidence_level,warning_flags,event_summary_focus,event_summary_original,reference_links
LEB_MAY2026_0009,LEB_MAY2026_0009_S01_L01,2026-05-06,1,Khirbet Selm,Bint Jbeil,Nabatieh,33.1719,35.4024,Medium,Medium,Khirbet Selm,1,location_specific,Yes,2.0,,,2.0,,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,الوكالة الوطنية: شهيدان وجريح إثر غارة استهدفت منزلاً في خربة سلم,- *الوكالة الوطنية: شهيدان وجريح إثر غارة استهدفت منزلاً في خربة سلم - قضاء بنت جبيل* - *وسائل إعلام إسرائيلية: المجلس الوزاري المصغر للشؤون الأمنية والسياسية ينعقد اليوم* - *غارة إسرائيلية على بلدة زوطر الشرقية وغارة استهدفت بلدة كونين*,https://t.me/lcncitizens2023/43683
LEB_MAY2026_0011,LEB_MAY2026_0011_S01_L01,2026-05-06,1,Houla,Marjayoun,Nabatieh,33.1853,35.5138,High,High,Houla,1,location_specific,Yes,,,,,,,,Targeted attack,1,1,Low - single source,Single-source event; verify before publication,🚨الحز. ب يعلن استهداف جرّافة D9 تابعة للجيش الإسرائيلي في بلدة حولا بمحلّقة انقضاضيّة وتحقيق إصابة مباشرة https://telegram.me/lebanonnews2,🚨الحز. ب يعلن استهداف جرّافة D9 تابعة للجيش الإسرائيلي في بلدة حولا بمحلّقة انقضاضيّة وتحقيق إصابة مباشرة https://telegram.me/lebanonnews2,https://t.me/lebanonnews2/100418
LEB_MAY2026_0010,LEB_MAY2026_0010_S01_L01,2026-05-06,1,Saksakiyeh,Saida,South,33.4318,35.3318,High,High,Saksakiyeh,1,location_specific,Yes,4.0,33.0,6.0,4.0,33.0,6.0,,Airstrike,3,4,High,Conflicting casualty figures | Casualty figure updated over time,🚨وزارة الصحة: الغارة الإسرائيلية على بلدة السكسكية – قضاء صيدا أدّت إلى 4 شهداء و33 جريحًا، من بينهم 6 أطفال و4 سيدات https://telegram.me/lebanonnews2,🚨وزارة الصحة: الغارة الإسرائيلية على بلدة السكسكية – قضاء صيدا أدّت إلى 4 شهداء و33 جريحًا، من بينهم 6 أطفال و4 سيدات https://telegram.me/lebanonnews2,https://t.me/lcncitizens2023/43716 | https://t.me/lebanonNews961/126954 | https://t.me/lebanonnews2/100416 | https://t.me/lebanonnews2/100434
LEB_MAY2026_0013,LEB_MAY2026_0013_S01_L01,2026-05-07,1,Haboush,Nabatieh,Nabatieh,33.4056,35.4775,High,High,Haboush,1,location_specific,Yes,5.0,2.0,,5.0,2.0,,,Airstrike,2,2,Medium,,🚨عاجل | وزارة الصحة اللبنانية: 5 شهداء ومصابان في غارة إسرائيلية على بلدة حبوش للانضمام معنا تلغرام https://t.me/janoub_lebnan23,🚨عاجل | وزارة الصحة اللبنانية: 5 شهداء ومصابان في غارة إسرائيلية على بلدة حبوش للانضمام معنا تلغرام https://t.me/janoub_lebnan23,https://t.me/janoub_lebnan23/42149 | https://t.me/lcncitizens2023/43789
LEB_MAY2026_0012,LEB_MAY2026_0012_S01_L01,2026-05-07,1,Miefdoun,Nabatieh,Nabatieh,33.3655,35.4769,High,High,Miefdoun,1,location_specific,Yes,1.0,4.0,,1.0,4.0,,,Airstrike,2,3,Medium,Casualty figure updated over time,وزارة الصحة: غارة العدو الإسرائيلي على بلدة ميفدون قضاء النبطية أدت إلى استشهاد شخص وإصابة 4 آخرين من بينهم سيدة للانضمام معنا تلغرام https://t.me/janoub_lebnan23,وزارة الصحة: غارة العدو الإسرائيلي على بلدة ميفدون قضاء النبطية أدت إلى استشهاد شخص وإصابة 4 آخرين من بينهم سيدة للانضمام معنا تلغرام https://t.me/janoub_lebnan23,https://t.me/janoub_lebnan23/42255 | https://t.me/lebanonNewsNow/255897 | https://t.me/lebanonNewsNow/255929
LEB_MAY2026_0015,LEB_MAY2026_0015_S01_L01,2026-05-08,1,Toura,Tyre,South,33.286,35.301,Medium,High,Toura,1,location_specific,Yes,2.0,5.0,,2.0,5.0,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,شهيدان و5 جرحى في عدوان طيران الاحتلال على بلدة طورا جنوب البلاد,- *شهيدان و5 جرحى في عدوان طيران الاحتلال على بلدة طورا جنوب البلاد* - *فرق الصليب الأحمر تعثر على الشابين المفقودين في بلدة بلاط قضاء مرجعيون شهيدَين* - *غارة إسرائيلية على بلدة معركة جنوبي ‎لبنان*,https://t.me/lcncitizens2023/43811
LEB_MAY2026_0014,LEB_MAY2026_0014_S01_L01,2026-05-08,1,Naqoura,Tyre,South,33.118,35.139,High,Medium,Naqoura,1,location_specific,Yes,,2.0,,,2.0,,,Drone strike,1,1,Low - single source,Single-source event; verify before publication,🚨 ورد الآن / الإذاعة الإسرائيلية: إصابة شخصين إثر سقوط مسيرة متفجرة في رأس الناقورة والعثور على مسيرة مفخخة في نهاريا,🚨 ورد الآن / الإذاعة الإسرائيلية: إصابة شخصين إثر سقوط مسيرة متفجرة في رأس الناقورة والعثور على مسيرة مفخخة في نهاريا,https://t.me/lebanonNewsNow/256123
LEB_MAY2026_0018,LEB_MAY2026_0018_S01_L01,2026-05-08,1,Zarariyeh,,,33.3868,35.3186,High,High,Zarariyeh,1,location_specific,Yes,3.0,,2.0,3.0,,2.0,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,وزارة الصحة: غارة العدو الإسرائيلي على بلدة الزرارية قضاء صيدا أدت إلى ارتقاء 3 شهداء من بينهم طفلان للانضمام معنا تلغرام https://t.me/janoub_lebnan23,وزارة الصحة: غارة العدو الإسرائيلي على بلدة الزرارية قضاء صيدا أدت إلى ارتقاء 3 شهداء من بينهم طفلان للانضمام معنا تلغرام https://t.me/janoub_lebnan23,https://t.me/janoub_lebnan23/42254
LEB_MAY2026_0017,LEB_MAY2026_0017_S01_L01,2026-05-08,1,Toura,Tyre,South,33.286,35.301,Medium,High,Toura,1,location_specific,Yes,,,,,,,,Attack,1,1,Low - single source,Single-source event; verify before publication,زهرات الجنوب ... أحلام حيدر وابنتيها شهيدات العدوان الإسرائيلي على منزلهم في بلدة طورا ـ قضاء صور,زهرات الجنوب ... أحلام حيدر وابنتيها شهيدات العدوان الإسرائيلي على منزلهم في بلدة طورا ـ قضاء صور,https://t.me/LebUpdate/60766
LEB_MAY2026_0016,LEB_MAY2026_0016_S01_L01,2026-05-08,1,Zarariyeh,,,33.3868,35.3186,High,Medium,Zarariyeh,1,location_specific,Yes,2.0,,,2.0,,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,"""الوكالة الوطنية"": شهيدان في غارة على الزرارية والطيران المعادي يستهدف ياطر والمنطقة الواقعة بين حومين التحتا وبنعفول","- *""الوكالة الوطنية"": شهيدان في غارة على الزرارية والطيران المعادي يستهدف ياطر والمنطقة الواقعة بين حومين التحتا وبنعفول* - *الرئاسة اللبنانية: الرئيس عون طلب من مستشار الأمن القومي البريطاني الضغط على ""إسرائيل"" للالتزام بوقف إطلاق النار*",https://t.me/lcncitizens2023/43822
LEB_MAY2026_0021,LEB_MAY2026_0021_S01_L01,2026-05-09,1,Beirut,,,33.8938,35.5018,High,Medium,Beirut,1,location_specific,Yes,,,,,,,,Drone strike,1,1,Low - single source,Single-source event; verify before publication,"This bastard reports ten injuries and the IDF is like: ""The drone fell near troops. No injuries"" Btw yes reach Tzur and reach even Beirut. Come and destroy. Kill and be killed. Eventually the fall of Israel one day will make the horror of the Holocaust a walk in the park It wo...","This bastard reports ten injuries and the IDF is like: ""The drone fell near troops. No injuries"" Btw yes reach Tzur and reach even Beirut. Come and destroy. Kill and be killed. Eventually the fall of Israel one day will make the horror of the Holocaust a walk in the park It wo...",https://t.me/LebUpdate/60781
LEB_MAY2026_0019,LEB_MAY2026_0019_S01_L01,2026-05-09,1,Deir el-Zahrani,Nabatieh,Nabatieh,33.3963,35.4669,High,Medium,Deir el-Zahrani,1,location_specific,Yes,,2.0,,,2.0,,,Airstrike,1,3,Low - single source,Single-source event; verify before publication | Casualty figure updated over time,🚨 ورد الآن / جريحان جراء غارة إسرائيلية على دير الزهراني في النبطية,🚨 ورد الآن / جريحان جراء غارة إسرائيلية على دير الزهراني في النبطية,https://t.me/lebanonNewsNow/256267 | https://t.me/lebanonNewsNow/256284 | https://t.me/lebanonNewsNow/256920
LEB_MAY2026_0020,LEB_MAY2026_0020_S01_L01,2026-05-09,1,Nabatieh,Nabatieh,Nabatieh,33.3789,35.4839,High,High,Nabatieh,1,location_specific,Yes,,,,,,,,Targeted attack,2,2,Medium,,"""الوكالة الوطنية"": استشهاد أب وإصابة ابنته بجروح خطيرة إثر استهدافهما بثلاث غارات من مسيّرة إسرائيلية في مدينة النبطية","""الوكالة الوطنية"": استشهاد أب وإصابة ابنته بجروح خطيرة إثر استهدافهما بثلاث غارات من مسيّرة إسرائيلية في مدينة النبطية",https://t.me/lcncitizens2023/43874 | https://t.me/lebanonNews961/126863
LEB_MAY2026_0022,LEB_MAY2026_0022_S01_L01,2026-05-09,1,Nabatieh,Nabatieh,Nabatieh,33.3789,35.4839,High,Medium,Nabatieh,1,location_specific,Yes,1.0,,,1.0,,,,Drone strike,1,1,Low - single source,Single-source event; verify before publication,🇱🇧🤔وزارة الصحة اللبنانية: شهيد من الجنسية السورية وإصابة ابنته في قصف من مسيرة إسرائيلية بالنبطية,🇱🇧🤔وزارة الصحة اللبنانية: شهيد من الجنسية السورية وإصابة ابنته في قصف من مسيرة إسرائيلية بالنبطية,https://t.me/nahjmokawma/79890
LEB_MAY2026_0023,LEB_MAY2026_0023_S01_L01,2026-05-09,1,Nabatieh,Nabatieh,Nabatieh,33.3789,35.4839,High,Medium,Nabatieh,1,location_specific,Yes,11.0,,,11.0,,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,طيران الاحتلال قصف بلدة في النبطية. 11 شهيد بالمكان اغلبهم نساء وأطفال,طيران الاحتلال قصف بلدة في النبطية. 11 شهيد بالمكان اغلبهم نساء وأطفال,https://t.me/nahjmokawma/79925
LEB_MAY2026_0027,LEB_MAY2026_0027_S01_L01,2026-05-09,1,Nabatieh,Nabatieh,Nabatieh,33.3789,35.4839,High,High,Nabatieh,1,location_specific,Yes,2.0,,,2.0,,,Unknown number mentioned,Airstrike,2,2,Medium,,شهيدان وعدد من الجرحى في حصيلة أولية للغارة الإسرائيلية التي استهدفت منزلًا في حي الراهبات بمدينة النبطية للانضمام معنا تلغرام https://t.me/janoub_lebnan23,شهيدان وعدد من الجرحى في حصيلة أولية للغارة الإسرائيلية التي استهدفت منزلًا في حي الراهبات بمدينة النبطية للانضمام معنا تلغرام https://t.me/janoub_lebnan23,https://t.me/janoub_lebnan23/42347 | https://t.me/lebanonNews961/127013
LEB_MAY2026_0026,LEB_MAY2026_0026_S01_L01,2026-05-09,1,Naqoura,Tyre,South,33.118,35.139,High,Medium,Naqoura,1,location_specific,Yes,,,,,,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,"🥀In a scene that encapsulates the harsh reality of the South, open to danger, the journey of young Ali Wahib Mustafa, from the town of Beit Leef, ended tragically on the Naqoura road after he set off alone on his motorcycle. Suffering from mental health issues, he left the dis...","🥀In a scene that encapsulates the harsh reality of the South, open to danger, the journey of young Ali Wahib Mustafa, from the town of Beit Leef, ended tragically on the Naqoura road after he set off alone on his motorcycle. Suffering from mental health issues, he left the dis...",https://t.me/LebUpdate/60826
LEB_MAY2026_0024,LEB_MAY2026_0024_S01_L01,2026-05-09,1,Saksakiyeh,Saida,South,33.4318,35.3318,High,High,Saksakiyeh,1,location_specific,Yes,,,,,,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,#عاجل مصادر محلية : قتلى وجرحى جراء قصف الطيران الإسرائيلي لبناية في بلدة السكسكية في قضاء #صيدا جنوب #لبنان.,#عاجل مصادر محلية : قتلى وجرحى جراء قصف الطيران الإسرائيلي لبناية في بلدة السكسكية في قضاء #صيدا جنوب #لبنان.,https://t.me/secretdoctorltd/4986
LEB_MAY2026_0025,LEB_MAY2026_0025_S01_L01,2026-05-09,1,Saksakiyeh,Saida,South,33.4318,35.3318,High,Medium,Saksakiyeh,1,location_specific,Yes,,15.0,,,15.0,,,Airstrike,2,2,Medium,,🇱🇧🤔 وزارة الصحة اللبنانية: ارتفاع عدد الشهداء إلى 7 وإصابة 15 بالغارة الإسرائيلية على السكسكية جنوبي البلاد..,🇱🇧🤔 وزارة الصحة اللبنانية: ارتفاع عدد الشهداء إلى 7 وإصابة 15 بالغارة الإسرائيلية على السكسكية جنوبي البلاد..,https://t.me/akhbaraljanub/109580 | https://t.me/nahjmokawma/80013
LEB_MAY2026_0028,LEB_MAY2026_0028_S01_L01,2026-05-09,1,Bedyas,,,33.255,35.405,Low - verify,High,Bedyas,1,location_specific,Yes,1.0,13.0,,1.0,13.0,,,Airstrike,4,4,High,Casualty figure updated over time,*🚨 وزارة الصحة: استشهاد شخص وإصابة 13 آخرين جراء غارة العدو الإسرائيلي على بلدة بدياس قضاء صور https://telegram.me/lebanonnews2,*🚨 وزارة الصحة: استشهاد شخص وإصابة 13 آخرين جراء غارة العدو الإسرائيلي على بلدة بدياس قضاء صور https://telegram.me/lebanonnews2,https://t.me/janoub_lebnan23/42353 | https://t.me/lebanonNewsNow/256385 | https://t.me/lebanonnews2/100611 | https://t.me/nahjmokawma/80159
LEB_MAY2026_0029,LEB_MAY2026_0029_S01_L01,2026-05-10,1,Bint Jbeil,Bint Jbeil,Nabatieh,33.1196,35.4347,High,High,Bint Jbeil,1,location_specific,Yes,,,,,,,,Targeted attack,1,1,Low - single source,Single-source event; verify before publication,🚨الحز، ب يعلن استهداف جرّافة D9 تابعة للجيش الإسرائيليّ في بلدة بنت جبيل بمحلّقة انقضاضيّة وتحقيق إصابة مؤكّدة,🚨الحز، ب يعلن استهداف جرّافة D9 تابعة للجيش الإسرائيليّ في بلدة بنت جبيل بمحلّقة انقضاضيّة وتحقيق إصابة مؤكّدة,https://t.me/janoub_lebnan23/42387
LEB_MAY2026_0031,LEB_MAY2026_0031_S01_L01,2026-05-11,1,Dweir,Nabatieh,Nabatieh,33.399,35.465,High,High,Dweir,1,location_specific,Yes,2.0,,,2.0,,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,"مراسل ""ليبانون ديبايت"": معلومات عن سقوط شهيدين في الغارة الإسرائيلية التي استهدفت بلدة الدوير","مراسل ""ليبانون ديبايت"": معلومات عن سقوط شهيدين في الغارة الإسرائيلية التي استهدفت بلدة الدوير",https://t.me/lebanonNews961/127423
LEB_MAY2026_0030,LEB_MAY2026_0030_S01_L01,2026-05-11,1,,,,,,No coordinate,No village extracted,,1,location_specific,Yes,,,,,,,,Attack,1,1,Low - single source,Single-source event; verify before publication,عضو كتلة الوفاء للمقاومة النائب حسن عز الدين: - الكتلة زارت العديد من السفارات والهيئات والمنظمات والمؤسسات الدولية المعتمدة في لبنان - الكتلة قدّمت لمن زارتهم مُذكّرة سياسية جرى توزيعها على البعثات الخارجية في لبنان شرحت فيها الموقف اللبناني اتجاه العدوان الصهيوني الذي يُشكّل...,عضو كتلة الوفاء للمقاومة النائب حسن عز الدين: - الكتلة زارت العديد من السفارات والهيئات والمنظمات والمؤسسات الدولية المعتمدة في لبنان - الكتلة قدّمت لمن زارتهم مُذكّرة سياسية جرى توزيعها على البعثات الخارجية في لبنان شرحت فيها الموقف اللبناني اتجاه العدوان الصهيوني الذي يُشكّل...,https://t.me/Janoubana/56476
LEB_MAY2026_0033,LEB_MAY2026_0033_S01_L01,2026-05-12,1,Jibchit,Nabatieh,Nabatieh,33.3639,35.4915,High,High,Jibchit,1,location_specific,Yes,3.0,,,3.0,,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,🚨 ورد الآن / 3 شهداء في الغارة الإسرائيليّة على بلدة جبشيت,🚨 ورد الآن / 3 شهداء في الغارة الإسرائيليّة على بلدة جبشيت,https://t.me/lebanonNewsNow/256836
LEB_MAY2026_0034,LEB_MAY2026_0034_S01_L01,2026-05-12,1,Jibchit,Nabatieh,Nabatieh,33.3639,35.4915,High,High,Jibchit,1,location_specific,Yes,,,,,,,,Airstrike,7,10,High,Casualty figure updated over time,🇱🇧🤔الجيش اللبناني: استشهاد المؤهل الأول الشهيد محمد علي عبيد نتيجة غارة إسرائيلية معادية استهدفت بلدة جبشيت - النبطية,🇱🇧🤔الجيش اللبناني: استشهاد المؤهل الأول الشهيد محمد علي عبيد نتيجة غارة إسرائيلية معادية استهدفت بلدة جبشيت - النبطية,https://t.me/Janoubana/56888 | https://t.me/MTVLebanoNews/69471 | https://t.me/janoub_lebnan23/42571 | https://t.me/lcncitizens2023/44056 | https://t.me/lcncitizens2023/44152
LEB_MAY2026_0035,LEB_MAY2026_0035_S01_L01,2026-05-12,1,Nabatieh,Nabatieh,Nabatieh,33.3789,35.4839,High,High,Nabatieh,1,location_specific,Yes,2.0,1.0,,2.0,1.0,,,Targeted attack,5,5,High,,"🏴 وزارة الصحة: العدو ""الإسرائيلي"" استهدف بشكل مباشر فريق الدفاع المدني في مدينة النبطية ما أدى إلى استشهاد اثنين من المسعفين وإصابة مسعفة بجروح خلال محاولتهم إنقاذ مصاب إستشهد بدوره هذا الاستهداف دليل إضافي على استباحة العدو ""الإسرائيلي"" للقانون الدولي الإنساني وضربه بعرض الحا...","🏴 وزارة الصحة: العدو ""الإسرائيلي"" استهدف بشكل مباشر فريق الدفاع المدني في مدينة النبطية ما أدى إلى استشهاد اثنين من المسعفين وإصابة مسعفة بجروح خلال محاولتهم إنقاذ مصاب إستشهد بدوره هذا الاستهداف دليل إضافي على استباحة العدو ""الإسرائيلي"" للقانون الدولي الإنساني وضربه بعرض الحا...",https://t.me/janoub_lebnan23/42548 | https://t.me/lebanonNews961/127578 | https://t.me/lebanonNewsNow/256842 | https://t.me/lebanondebate/232870 | https://t.me/nahjmokawma/80974
LEB_MAY2026_0036,LEB_MAY2026_0036_S01_L01,2026-05-12,1,Nabatieh,Nabatieh,Nabatieh,33.3789,35.4839,High,Medium,Nabatieh,1,location_specific,Yes,,,,,,,,Airstrike,1,2,Low - single source,Single-source event; verify before publication,Lebanese Civil Defense member Ahmed Noura was killed in an Israeli airstrike in Nabatieh. May Judaism be eradicated,Lebanese Civil Defense member Ahmed Noura was killed in an Israeli airstrike in Nabatieh. May Judaism be eradicated,https://t.me/LebUpdate/60896 | https://t.me/LebUpdate/60897
LEB_MAY2026_0032,LEB_MAY2026_0032_S01_L01,2026-05-12,1,Tayr Debba,Tyre,South,33.299,35.302,Medium,Medium,Tayr Debba,1,location_specific,Yes,1.0,,,1.0,,,,Drone strike,1,1,Low - single source,Single-source event; verify before publication,الوكالة الوطنية للإعلام: استشهاد سوري وإصابة زوجته بغارة استهدفت دراجة نارية في طيردبا جنوب صور,- *الوكالة الوطنية للإعلام: استشهاد سوري وإصابة زوجته بغارة استهدفت دراجة نارية في طيردبا جنوب صور* - *غارة من مسيرة إسرائيلية على بلدة حاريص جنوبي ‎لبنان*,https://t.me/lcncitizens2023/44040
LEB_MAY2026_0037,LEB_MAY2026_0037_S01_L01,2026-05-13,1,Saida/Sidon,Saida,South,33.5631,35.3689,High,High,Saida/Sidon,1,location_specific,Yes,1.0,,,1.0,,,,Drone strike,1,1,Low - single source,Single-source event; verify before publication,*الدفاع المدني في الجنوب للجزيرة: شهيد وجريح في استهداف مسيرة إسرائيلية سيارة في مدينة صيدا*,*الدفاع المدني في الجنوب للجزيرة: شهيد وجريح في استهداف مسيرة إسرائيلية سيارة في مدينة صيدا*,https://t.me/lcncitizens2023/44118
LEB_MAY2026_0038,LEB_MAY2026_0038_S01_L01,2026-05-13,1,Saida/Sidon,Saida,South,33.5631,35.3689,High,High,Saida/Sidon,1,location_specific,Yes,1.0,,,1.0,,,,Airstrike,2,2,Medium,,وزارة الصحة: استشهاد مواطن وإصابة آخر بجروح في غارة إسرائيلية استهدفت سيارة في مدينة صيدا https://lbdb.co/835608,وزارة الصحة: استشهاد مواطن وإصابة آخر بجروح في غارة إسرائيلية استهدفت سيارة في مدينة صيدا https://lbdb.co/835608,https://t.me/lebanonNews961/127777 | https://t.me/lebanondebate/233233
